調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,C120120_納税義務者数（所得割）【人】,F2201_第1次産業就業者数【人】,F2211_第2次産業就業者数【人】,F2221_第3次産業就業者数【人】
2015100000,2015年度,22226,静岡県 牧之原市,,59028778,21587,3366,10076,12050
2015100000,2015年度,22301,静岡県 東伊豆町,,12134874,5368,510,692,5022
2015100000,2015年度,22302,静岡県 河津町,,7352264,2964,469,486,2639
2015100000,2015年度,22304,静岡県 南伊豆町,,7192945,3165,344,468,2794
2015100000,2015年度,22305,静岡県 松崎町,,6330835,2689,222,531,2350
2015100000,2015年度,22306,静岡県 西伊豆町,,7575139,3325,189,683,2741
2015100000,2015年度,22325,静岡県 函南町,,50477072,17454,688,5080,12344
2015100000,2015年度,22341,静岡県 清水町,,48764594,15237,166,4952,10452
2015100000,2015年度,22342,静岡県 長泉町,,73318806,19879,421,7107,12622
2015100000,2015年度,22344,静岡県 小山町,,28030715,9478,443,2515,7671
2015100000,2015年度,22424,静岡県 吉田町,,39997938,14101,581,7412,7607
2015100000,2015年度,22429,静岡県 川根本町,,7604684,2997,513,1214,1978
2015100000,2015年度,22461,静岡県 森町,,23877099,8755,856,3814,5008
2015100000,2015年度,23100,愛知県 名古屋市,,4072888298,1055963,2747,250784,764435
2015100000,2015年度,23201,愛知県 豊橋市,,568740140,172157,10255,64608,107631
2015100000,2015年度,23202,愛知県 岡崎市,,645987564,178773,2752,75226,110448
2015100000,2015年度,23203,愛知県 一宮市,,533701177,167716,1820,54668,119010
2015100000,2015年度,23204,愛知県 瀬戸市,,189204153,59043,416,20315,37853
2015100000,2015年度,23205,愛知県 半田市,,188849267,54714,756,19930,33235
2015100000,2015年度,23206,愛知県 春日井市,,479431330,143264,916,43101,96234
2015100000,2015年度,23207,愛知県 豊川市,,263460698,84021,4994,35100,51740
2015100000,2015年度,23208,愛知県 津島市,,87323125,28344,538,8917,20012
2015100000,2015年度,23209,愛知県 碧南市,,118577945,34518,1577,18303,17484
